Time (s),i,ii,iii,avr,avl,avf,v1,v2,v3,v4,v5,v6
0.026,-0.022,0.0065,0.0285,0.0075,-0.0255,0.0175,-0.4215,-0.292,-0.28,-0.2555,-0.2315,-0.049
0.027,-0.0275,0.0125,0.04,0.0075,-0.034,0.0265,-0.422,-0.296,-0.284,-0.259,-0.237,-0.052
0.028,-0.036,0.003,0.0385,0.016,-0.037,0.021,-0.4155,-0.293,-0.282,-0.2575,-0.236,-0.0495
0.029,-0.04,-0.011,0.029,0.025,-0.0345,0.009,-0.4095,-0.29,-0.2795,-0.255,-0.2335,-0.043
0.03,-0.0345,-0.0055,0.0295,0.02,-0.032,0.012,-0.4105,-0.292,-0.2845,-0.2585,-0.235,-0.043
0.031,-0.0395,0.0075,0.047,0.016,-0.0435,0.0275,-0.416,-0.2995,-0.293,-0.2675,-0.2435,-0.051
0.032,-0.0285,0.0185,0.0475,0.0045,-0.038,0.0335,-0.4245,-0.312,-0.3055,-0.282,-0.257,-0.0615
0.033,-0.021,0.0195,0.041,0.0005,-0.031,0.0305,-0.425,-0.3135,-0.309,-0.285,-0.2625,-0.068
0.034,-0.038,0.014,0.052,0.012,-0.045,0.033,-0.417,-0.309,-0.3085,-0.283,-0.261,-0.0625
0.035,-0.041,0.0145,0.055,0.013,-0.048,0.035,-0.4155,-0.311,-0.3105,-0.2845,-0.262,-0.0645
0.036,-0.05,0.016,0.066,0.0165,-0.058,0.041,-0.412,-0.3135,-0.313,-0.287,-0.2725,-0.0695
0.037,-0.0505,0.005,0.055,0.023,-0.053,0.03,-0.407,-0.312,-0.3145,-0.292,-0.2735,-0.0645
0.038,-0.0455,0.0065,0.0525,0.019,-0.049,0.0295,-0.407,-0.315,-0.32,-0.2955,-0.2735,-0.0745
0.039,-0.044,0.0135,0.0575,0.0145,-0.0505,0.036,-0.4085,-0.315,-0.323,-0.298,-0.2805,-0.0825
0.04,-0.039,0.008,0.0475,0.0155,-0.043,0.028,-0.4075,-0.3145,-0.326,-0.3,-0.2805,-0.0755
0.041,-0.0505,0.007,0.0575,0.0215,-0.054,0.033,-0.398,-0.3195,-0.3335,-0.3065,-0.287,-0.0795
0.042,-0.053,0.0075,0.0605,0.0225,-0.0565,0.0345,-0.4005,-0.319,-0.3315,-0.3065,-0.295,-0.083
0.043,-0.062,0.005,0.067,0.028,-0.0645,0.0365,-0.412,-0.3185,-0.329,-0.304,-0.2915,-0.068
0.044,-0.0695,-0.0025,0.0665,0.036,-0.068,0.032,-0.4155,-0.3235,-0.333,-0.306,-0.289,-0.068
0.045,-0.064,-0.002,0.062,0.033,-0.063,0.03,-0.4045,-0.323,-0.3335,-0.305,-0.297,-0.078
0.046,-0.06,0.0035,0.0635,0.028,-0.0615,0.0335,-0.3965,-0.319,-0.332,-0.306,-0.3015,-0.079
0.047,-0.064,-0.0035,0.0605,0.0335,-0.062,0.0285,-0.3995,-0.3245,-0.338,-0.309,-0.303,-0.0785
0.048,-0.074,-0.012,0.062,0.0425,-0.068,0.025,-0.396,-0.3255,-0.3405,-0.31,-0.3045,-0.0825
0.049,-0.068,-0.012,0.056,0.04,-0.062,0.0225,-0.3955,-0.325,-0.341,-0.313,-0.3065,-0.086
0.05,-0.06,-0.011,0.0495,0.0355,-0.055,0.0195,-0.3975,-0.3295,-0.3475,-0.319,-0.312,-0.087
0.051,-0.063,-0.0085,0.0545,0.0355,-0.059,0.023,-0.397,-0.33,-0.349,-0.3215,-0.316,-0.089
0.052,-0.0625,-0.006,0.0565,0.034,-0.0595,0.0255,-0.398,-0.336,-0.3545,-0.329,-0.3215,-0.0935
0.053,-0.055,-0.008,0.0465,0.0315,-0.0505,0.0195,-0.3965,-0.3375,-0.3575,-0.3325,-0.3265,-0.099
0.054,-0.0525,-0.0115,0.041,0.0315,-0.0465,0.015,-0.3965,-0.3385,-0.36,-0.3365,-0.3285,-0.099
0.055,-0.062,-0.018,0.044,0.0395,-0.053,0.0135,-0.3925,-0.3415,-0.361,-0.338,-0.3295,-0.1005
0.056,-0.07,-0.0165,0.0535,0.0425,-0.0615,0.019,-0.388,-0.3345,-0.358,-0.3355,-0.327,-0.0965
0.057,-0.0695,-0.0205,0.0485,0.0445,-0.059,0.0145,-0.3865,-0.335,-0.359,-0.339,-0.3245,-0.0935
0.058,-0.066,-0.027,0.039,0.0465,-0.0525,0.006,-0.386,-0.337,-0.354,-0.33,-0.319,-0.0935
0.059,-0.0705,-0.0225,0.0475,0.046,-0.059,0.013,-0.3795,-0.3335,-0.35,-0.327,-0.319,-0.094
0.06,-0.0745,-0.0265,0.048,0.05,-0.0615,0.011,-0.3805,-0.3355,-0.352,-0.332,-0.326,-0.0955
0.061,-0.0695,-0.03,0.0395,0.0495,-0.0545,0.005,-0.386,-0.34,-0.357,-0.337,-0.328,-0.0935
0.062,-0.0715,-0.0305,0.041,0.051,-0.056,0.0055,-0.3815,-0.3375,-0.357,-0.3385,-0.3265,-0.095
0.063,-0.07,-0.028,0.042,0.049,-0.056,0.007,-0.385,-0.3415,-0.36,-0.341,-0.3315,-0.1
0.064,-0.069,-0.0285,0.0405,0.0485,-0.0545,0.0065,-0.3865,-0.3465,-0.3675,-0.3455,-0.336,-0.1055
0.065,-0.0755,-0.0235,0.052,0.049,-0.0635,0.0145,-0.39,-0.35,-0.372,-0.349,-0.34,-0.1075
0.066,-0.078,-0.025,0.053,0.0515,-0.0655,0.0145,-0.396,-0.3535,-0.377,-0.355,-0.345,-0.112
0.067,-0.081,-0.0435,0.0375,0.062,-0.059,-0.003,-0.3885,-0.347,-0.374,-0.351,-0.3405,-0.1105
0.068,-0.082,-0.0465,0.036,0.064,-0.059,-0.005,-0.387,-0.3485,-0.376,-0.353,-0.3375,-0.1085
0.069,-0.081,-0.0365,0.045,0.0585,-0.063,0.0045,-0.39,-0.3555,-0.385,-0.3605,-0.34,-0.108
0.07,-0.08,-0.027,0.053,0.053,-0.0665,0.013,-0.3915,-0.355,-0.383,-0.3595,-0.347,-0.1105
0.071,-0.0815,-0.0215,0.06,0.0515,-0.071,0.0195,-0.395,-0.354,-0.378,-0.3555,-0.3565,-0.1185
0.072,-0.0815,-0.018,0.064,0.0495,-0.0725,0.0235,-0.3955,-0.3595,-0.3835,-0.361,-0.3665,-0.1215
0.073,-0.076,-0.017,0.059,0.046,-0.0675,0.021,-0.399,-0.362,-0.387,-0.366,-0.361,-0.122
0.074,-0.078,-0.0215,0.0565,0.0495,-0.067,0.018,-0.4005,-0.363,-0.387,-0.365,-0.3535,-0.122
0.075,-0.083,-0.029,0.054,0.056,-0.0685,0.0125,-0.3995,-0.365,-0.3925,-0.368,-0.3605,-0.1245
0.076,-0.077,-0.0355,0.0415,0.056,-0.0595,0.003,-0.3965,-0.3615,-0.3925,-0.3695,-0.365,-0.129
0.077,-0.074,-0.039,0.035,0.056,-0.0545,-0.0015,-0.3955,-0.363,-0.3925,-0.371,-0.369,-0.1285
0.078,-0.0805,-0.045,0.0355,0.0625,-0.058,-0.0045,-0.391,-0.359,-0.39,-0.3705,-0.374,-0.1325
0.079,-0.0865,-0.0475,0.0395,0.0665,-0.063,-0.0035,-0.3925,-0.359,-0.3915,-0.3705,-0.374,-0.13
0.08,-0.0845,-0.0485,0.036,0.066,-0.0605,-0.0055,-0.3975,-0.3615,-0.3945,-0.3705,-0.3715,-0.1275
0.081,-0.0745,-0.043,0.0315,0.0585,-0.053,-0.0055,-0.391,-0.3585,-0.3925,-0.371,-0.376,-0.135
0.082,-0.074,-0.0345,0.0395,0.054,-0.0565,0.0025,-0.3915,-0.3615,-0.3955,-0.375,-0.3795,-0.1365
0.083,-0.075,-0.0425,0.0325,0.0585,-0.0535,-0.0045,-0.393,-0.3615,-0.395,-0.3765,-0.378,-0.137
0.084,-0.0825,-0.0535,0.029,0.0675,-0.056,-0.012,-0.387,-0.36,-0.3935,-0.375,-0.378,-0.137
0.085,-0.0875,-0.051,0.0365,0.069,-0.062,-0.007,-0.39,-0.3595,-0.3935,-0.374,-0.377,-0.1365
0.086,-0.078,-0.0475,0.0305,0.0625,-0.054,-0.008,-0.3965,-0.3625,-0.396,-0.3735,-0.3765,-0.1365
0.087,-0.076,-0.0475,0.0285,0.0615,-0.0525,-0.009,-0.389,-0.36,-0.395,-0.3715,-0.3755,-0.1365
0.088,-0.0745,-0.054,0.0205,0.064,-0.0475,-0.0165,-0.381,-0.354,-0.3885,-0.368,-0.371,-0.1325
0.089,-0.0725,-0.0515,0.021,0.0615,-0.047,-0.015,-0.381,-0.3555,-0.389,-0.3665,-0.371,-0.132
0.09,-0.076,-0.041,0.035,0.058,-0.0555,-0.003,-0.38,-0.357,-0.3895,-0.3655,-0.3735,-0.135
0.091,-0.081,-0.046,0.035,0.063,-0.058,-0.005,-0.38,-0.3555,-0.3885,-0.367,-0.3795,-0.1375
0.092,-0.0835,-0.0475,0.036,0.065,-0.0595,-0.0055,-0.383,-0.3565,-0.391,-0.3705,-0.387,-0.1455
0.093,-0.082,-0.045,0.037,0.063,-0.059,-0.004,-0.383,-0.3555,-0.391,-0.3705,-0.3895,-0.1485
0.094,-0.084,-0.051,0.0335,0.067,-0.059,-0.008,-0.3825,-0.3565,-0.393,-0.3705,-0.393,-0.1515
0.095,-0.0835,-0.049,0.0345,0.066,-0.059,-0.007,-0.383,-0.356,-0.3905,-0.3695,-0.393,-0.149
0.096,-0.082,-0.049,0.0335,0.065,-0.058,-0.0075,-0.382,-0.3535,-0.389,-0.371,-0.3915,-0.1465
0.097,-0.086,-0.047,0.039,0.0665,-0.0625,-0.0035,-0.3815,-0.3565,-0.3925,-0.3755,-0.392,-0.144
0.098,-0.0835,-0.0385,0.045,0.0605,-0.064,0.0035,-0.3815,-0.3565,-0.3935,-0.3735,-0.3915,-0.1385
0.099,-0.0775,-0.0385,0.039,0.058,-0.058,0.0005,-0.3845,-0.3555,-0.393,-0.3715,-0.3895,-0.1405
0.1,-0.075,-0.032,0.0425,0.053,-0.0585,0.0055,-0.3835,-0.3525,-0.389,-0.3705,-0.3855,-0.1335
0.101,-0.076,-0.0365,0.0395,0.056,-0.058,0.002,-0.382,-0.354,-0.3905,-0.3745,-0.391,-0.1385
0.102,-0.075,-0.0545,0.02,0.0645,-0.0475,-0.017,-0.379,-0.3525,-0.387,-0.3695,-0.39,-0.1405
0.103,-0.078,-0.0655,0.012,0.0715,-0.045,-0.0265,-0.372,-0.344,-0.3795,-0.362,-0.381,-0.131
0.104,-0.087,-0.069,0.018,0.0775,-0.0525,-0.025,-0.3705,-0.3445,-0.38,-0.363,-0.382,-0.132
0.105,-0.096,-0.075,0.021,0.085,-0.0585,-0.027,-0.37,-0.3415,-0.3755,-0.3595,-0.378,-0.129
0.106,-0.0865,-0.0715,0.015,0.079,-0.051,-0.028,-0.377,-0.3465,-0.3795,-0.3655,-0.378,-0.1305
0.107,-0.085,-0.0605,0.0245,0.0725,-0.055,-0.018,-0.381,-0.3525,-0.385,-0.3725,-0.3825,-0.1335
0.108,-0.0955,-0.0615,0.0335,0.078,-0.0645,-0.014,-0.3795,-0.349,-0.383,-0.367,-0.3805,-0.1325
0.109,-0.088,-0.0575,0.0305,0.0725,-0.0595,-0.013,-0.3825,-0.3505,-0.3855,-0.3675,-0.3825,-0.1325
0.11,-0.09,-0.0685,0.022,0.079,-0.056,-0.023,-0.3825,-0.351,-0.3835,-0.37,-0.3875,-0.1355
0.111,-0.095,-0.0725,0.0225,0.0835,-0.0585,-0.025,-0.3805,-0.349,-0.382,-0.368,-0.387,-0.136
0.112,-0.091,-0.0665,0.0245,0.0785,-0.0575,-0.021,-0.38,-0.3485,-0.3865,-0.3685,-0.39,-0.1365
0.113,-0.088,-0.063,0.025,0.0755,-0.0565,-0.019,-0.38,-0.348,-0.385,-0.3685,-0.3935,-0.1425
0.114,-0.0965,-0.056,0.0405,0.076,-0.0685,-0.0075,-0.379,-0.3475,-0.3845,-0.3705,-0.393,-0.144
0.115,-0.091,-0.0575,0.0335,0.074,-0.0625,-0.012,-0.3765,-0.347,-0.385,-0.3705,-0.3885,-0.1395
0.116,-0.0825,-0.054,0.029,0.068,-0.056,-0.012,-0.3755,-0.346,-0.381,-0.3685,-0.384,-0.137
0.117,-0.092,-0.058,0.034,0.0745,-0.063,-0.0115,-0.373,-0.344,-0.38,-0.37,-0.3905,-0.1435
0.118,-0.0935,-0.0515,0.042,0.072,-0.068,-0.0045,-0.373,-0.3415,-0.3785,-0.367,-0.393,-0.141
0.119,-0.0905,-0.0455,0.045,0.068,-0.0675,0.0,-0.376,-0.346,-0.382,-0.3685,-0.3865,-0.1415
0.12,-0.087,-0.052,0.0355,0.069,-0.0615,-0.008,-0.3765,-0.3495,-0.3845,-0.373,-0.3855,-0.1405
0.121,-0.0885,-0.0465,0.042,0.067,-0.0655,-0.002,-0.375,-0.3375,-0.3755,-0.365,-0.3805,-0.1335
0.122,-0.0935,-0.0615,0.032,0.0775,-0.063,-0.0145,-0.365,-0.331,-0.3715,-0.3615,-0.3875,-0.1325
0.123,-0.0905,-0.0725,0.018,0.0815,-0.054,-0.027,-0.3595,-0.331,-0.368,-0.3585,-0.378,-0.124
0.124,-0.0835,-0.0635,0.02,0.0735,-0.052,-0.0215,-0.3635,-0.3365,-0.3705,-0.3535,-0.37,-0.132
0.125,-0.084,-0.0605,0.024,0.072,-0.054,-0.018,-0.3665,-0.338,-0.374,-0.356,-0.3875,-0.1415
0.126,-0.0875,-0.0585,0.029,0.073,-0.0585,-0.0145,-0.3625,-0.3355,-0.3725,-0.3595,-0.3895,-0.1395
0.127,-0.0905,-0.0555,0.0355,0.0725,-0.063,-0.0095,-0.3625,-0.3425,-0.3765,-0.3645,-0.388,-0.1335
0.128,-0.09,-0.045,0.045,0.067,-0.0675,0.0005,-0.37,-0.3425,-0.374,-0.364,-0.3825,-0.137
0.129,-0.0875,-0.0405,0.047,0.064,-0.0675,0.0035,-0.3685,-0.3385,-0.3725,-0.3605,-0.3835,-0.1405
0.13,-0.0955,-0.051,0.0445,0.073,-0.07,-0.0025,-0.361,-0.3345,-0.3715,-0.359,-0.383,-0.136
0.131,-0.093,-0.046,0.047,0.0695,-0.07,0.001,-0.3545,-0.3295,-0.3685,-0.3555,-0.379,-0.131
0.132,-0.0895,-0.039,0.05,0.064,-0.07,0.0055,-0.352,-0.3295,-0.37,-0.356,-0.3775,-0.126
0.133,-0.0965,-0.041,0.055,0.0685,-0.0755,0.0075,-0.348,-0.328,-0.371,-0.3575,-0.3755,-0.1305
0.134,-0.0955,-0.0445,0.051,0.07,-0.0735,0.0035,-0.35,-0.3335,-0.373,-0.359,-0.3745,-0.133
0.135,-0.0955,-0.0515,0.044,0.0735,-0.07,-0.0035,-0.371,-0.345,-0.3805,-0.3665,-0.3805,-0.1425
0.136,-0.103,-0.053,0.05,0.078,-0.0765,-0.001,-0.3805,-0.337,-0.375,-0.364,-0.377,-0.124
0.137,-0.1065,-0.0615,0.045,0.084,-0.076,-0.008,-0.38,-0.3375,-0.3765,-0.365,-0.3715,-0.119
0.138,-0.103,-0.0585,0.044,0.0805,-0.0735,-0.007,-0.3805,-0.3395,-0.378,-0.3665,-0.3865,-0.142
0.139,-0.1025,-0.05,0.0525,0.076,-0.0775,0.0015,-0.3745,-0.333,-0.3715,-0.3585,-0.382,-0.1255
0.14,-0.0985,-0.047,0.052,0.0725,-0.0755,0.003,-0.3715,-0.334,-0.367,-0.3555,-0.3715,-0.1175
0.141,-0.0985,-0.046,0.0525,0.072,-0.075,0.0035,-0.369,-0.3305,-0.3615,-0.351,-0.3725,-0.12
0.142,-0.097,-0.05,0.0465,0.073,-0.0715,-0.0015,-0.3715,-0.3335,-0.3645,-0.351,-0.375,-0.1235
0.143,-0.097,-0.053,0.0445,0.0745,-0.071,-0.004,-0.374,-0.334,-0.366,-0.353,-0.378,-0.131
0.144,-0.105,-0.0625,0.0425,0.0835,-0.0735,-0.01,-0.377,-0.3335,-0.365,-0.3515,-0.3765,-0.123
0.145,-0.1035,-0.06,0.0435,0.0815,-0.0735,-0.008,-0.374,-0.3305,-0.3605,-0.345,-0.367,-0.115
0.146,-0.102,-0.0605,0.042,0.081,-0.072,-0.009,-0.3695,-0.327,-0.3605,-0.342,-0.3655,-0.1135
0.147,-0.0975,-0.075,0.0225,0.0855,-0.06,-0.026,-0.3695,-0.327,-0.36,-0.3425,-0.3685,-0.1165
0.148,-0.1,-0.0725,0.0275,0.086,-0.0635,-0.0225,-0.3745,-0.3335,-0.3625,-0.346,-0.3675,-0.115
0.149,-0.1095,-0.054,0.056,0.0815,-0.083,0.0015,-0.389,-0.35,-0.3775,-0.3565,-0.3685,-0.1175
0.15,-0.1075,-0.046,0.0615,0.0765,-0.0845,0.008,-0.393,-0.351,-0.377,-0.3575,-0.3745,-0.124
0.151,-0.103,-0.048,0.0555,0.075,-0.079,0.004,-0.3855,-0.3405,-0.3695,-0.35,-0.375,-0.1225
0.152,-0.103,-0.045,0.0585,0.0735,-0.0805,0.007,-0.384,-0.3445,-0.375,-0.3545,-0.3745,-0.12
0.153,-0.0985,-0.0355,0.0625,0.067,-0.0805,0.0135,-0.3845,-0.347,-0.3765,-0.3565,-0.371,-0.117
0.154,-0.0915,-0.0245,0.067,0.058,-0.0795,0.0215,-0.3795,-0.3395,-0.371,-0.3515,-0.371,-0.1215
0.155,-0.0885,-0.0215,0.067,0.055,-0.078,0.023,-0.374,-0.338,-0.37,-0.3515,-0.379,-0.1255
0.156,-0.0905,-0.0255,0.065,0.058,-0.0775,0.02,-0.374,-0.3375,-0.368,-0.3505,-0.3645,-0.1165
0.157,-0.099,-0.0275,0.0715,0.063,-0.0855,0.022,-0.373,-0.3375,-0.3675,-0.349,-0.3605,-0.117
0.158,-0.1055,-0.037,0.0685,0.071,-0.087,0.016,-0.3875,-0.3465,-0.376,-0.3545,-0.3695,-0.121
0.159,-0.1035,-0.0495,0.0545,0.0765,-0.079,0.0025,-0.3965,-0.3505,-0.3765,-0.3555,-0.368,-0.121
0.16,-0.0965,-0.0415,0.055,0.0685,-0.0755,0.007,-0.371,-0.336,-0.3635,-0.3425,-0.3615,-0.1145
0.161,-0.0965,-0.034,0.062,0.065,-0.079,0.0145,-0.3705,-0.339,-0.368,-0.3445,-0.3515,-0.1075
0.162,-0.0995,-0.0305,0.069,0.0645,-0.084,0.0195,-0.381,-0.3475,-0.3755,-0.35,-0.3545,-0.1105
0.163,-0.097,-0.032,0.0645,0.0645,-0.0805,0.0165,-0.3755,-0.3385,-0.3635,-0.339,-0.3575,-0.113
0.164,-0.094,-0.041,0.053,0.067,-0.0735,0.0065,-0.378,-0.3365,-0.3615,-0.3345,-0.352,-0.107
0.165,-0.0875,-0.04,0.0475,0.0635,-0.0675,0.004,-0.382,-0.3415,-0.3705,-0.3395,-0.347,-0.105
0.166,-0.085,-0.033,0.052,0.059,-0.0685,0.0095,-0.3855,-0.3465,-0.374,-0.345,-0.351,-0.1105
0.167,-0.0915,-0.0375,0.054,0.064,-0.0725,0.0085,-0.3885,-0.347,-0.3745,-0.346,-0.35,-0.112
0.168,-0.1025,-0.0455,0.057,0.0735,-0.0795,0.006,-0.388,-0.3475,-0.378,-0.3465,-0.3555,-0.1205
0.169,-0.108,-0.0375,0.0705,0.0725,-0.0895,0.017,-0.3905,-0.3485,-0.3755,-0.3455,-0.357,-0.121
0.17,-0.105,-0.0405,0.0645,0.0725,-0.085,0.012,-0.3875,-0.343,-0.371,-0.343,-0.35,-0.1125
0.171,-0.104,-0.043,0.061,0.073,-0.0825,0.0095,-0.3805,-0.341,-0.3725,-0.343,-0.3465,-0.1135
0.172,-0.1045,-0.027,0.0775,0.0655,-0.091,0.0255,-0.381,-0.3425,-0.374,-0.3435,-0.349,-0.1155
0.173,-0.1095,-0.0195,0.0905,0.0645,-0.1,0.036,-0.385,-0.349,-0.378,-0.347,-0.357,-0.122
0.174,-0.1115,-0.02,0.0915,0.0655,-0.1015,0.0355,-0.3865,-0.3525,-0.38,-0.3485,-0.3505,-0.121
0.175,-0.103,-0.0245,0.079,0.0635,-0.091,0.0275,-0.3835,-0.3455,-0.374,-0.342,-0.3445,-0.1135
0.176,-0.1005,-0.0345,0.066,0.067,-0.0835,0.016,-0.378,-0.3405,-0.368,-0.3365,-0.336,-0.1025
0.177,-0.097,-0.026,0.071,0.0615,-0.084,0.0225,-0.379,-0.3415,-0.367,-0.3375,-0.3375,-0.1035
0.178,-0.0985,-0.0175,0.0805,0.0575,-0.0895,0.032,-0.381,-0.3435,-0.3685,-0.342,-0.3435,-0.106
0.179,-0.097,-0.0285,0.068,0.0625,-0.0825,0.02,-0.3785,-0.343,-0.3715,-0.342,-0.34,-0.1035
0.18,-0.0965,-0.032,0.064,0.064,-0.08,0.0165,-0.377,-0.341,-0.37,-0.3385,-0.3375,-0.1005
0.181,-0.0995,-0.032,0.067,0.0655,-0.083,0.018,-0.3785,-0.3435,-0.3695,-0.3365,-0.335,-0.0915
0.182,-0.0935,-0.026,0.068,0.0595,-0.081,0.0215,-0.384,-0.3455,-0.3695,-0.336,-0.34,-0.094
0.183,-0.095,-0.02,0.0745,0.057,-0.0845,0.0275,-0.3855,-0.347,-0.368,-0.3375,-0.3325,-0.093
0.184,-0.093,-0.022,0.071,0.0575,-0.082,0.025,-0.384,-0.347,-0.3675,-0.3345,-0.3245,-0.086
0.185,-0.0975,-0.0305,0.067,0.0635,-0.0825,0.0185,-0.3845,-0.3505,-0.3685,-0.3335,-0.325,-0.0875
0.186,-0.0995,-0.037,0.0625,0.068,-0.0805,0.013,-0.3855,-0.352,-0.371,-0.3355,-0.3275,-0.0945
0.187,-0.091,-0.034,0.0565,0.0625,-0.0735,0.0115,-0.388,-0.352,-0.374,-0.3365,-0.331,-0.0965
0.188,-0.0955,-0.0435,0.052,0.069,-0.0735,0.0045,-0.3885,-0.353,-0.3755,-0.3385,-0.3275,-0.094
0.189,-0.0945,-0.0415,0.053,0.0675,-0.0735,0.006,-0.3905,-0.3545,-0.3745,-0.338,-0.3265,-0.0955
0.19,-0.092,-0.029,0.063,0.0605,-0.0775,0.0175,-0.3935,-0.3585,-0.3775,-0.3405,-0.3285,-0.099
0.191,-0.1005,-0.027,0.0735,0.0635,-0.087,0.0235,-0.3935,-0.3635,-0.382,-0.345,-0.328,-0.0985
0.192,-0.097,-0.0245,0.0725,0.06,-0.085,0.0245,-0.396,-0.3705,-0.387,-0.349,-0.3295,-0.099
0.193,-0.092,-0.017,0.075,0.054,-0.0835,0.0295,-0.3965,-0.3605,-0.379,-0.344,-0.33,-0.101
0.194,-0.0985,-0.009,0.09,0.0535,-0.0945,0.0405,-0.3985,-0.3615,-0.3795,-0.343,-0.327,-0.096
0.195,-0.1035,-0.012,0.0915,0.0575,-0.098,0.04,-0.4025,-0.3725,-0.39,-0.3495,-0.332,-0.098
0.196,-0.103,-0.015,0.088,0.0585,-0.0955,0.037,-0.4065,-0.3675,-0.385,-0.345,-0.334,-0.1025
0.197,-0.104,-0.019,0.0855,0.061,-0.095,0.0335,-0.4155,-0.373,-0.39,-0.3485,-0.339,-0.1005
0.198,-0.1025,-0.021,0.0815,0.062,-0.092,0.0305,-0.4145,-0.378,-0.3955,-0.353,-0.3375,-0.096
0.199,-0.0975,-0.022,0.075,0.0595,-0.086,0.0265,-0.404,-0.369,-0.3885,-0.3445,-0.329,-0.0985
0.2,-0.0965,-0.027,0.069,0.0615,-0.083,0.0215,-0.401,-0.3665,-0.3865,-0.345,-0.3305,-0.1005
0.201,-0.097,-0.0205,0.076,0.0585,-0.0865,0.028,-0.402,-0.3695,-0.3905,-0.3485,-0.3315,-0.0965
0.202,-0.1,-0.0175,0.083,0.058,-0.0915,0.033,-0.4015,-0.369,-0.3895,-0.3485,-0.334,-0.098
0.203,-0.1035,-0.0275,0.076,0.065,-0.09,0.0245,-0.399,-0.367,-0.389,-0.349,-0.3305,-0.0925
0.204,-0.1015,-0.0265,0.075,0.064,-0.0885,0.0245,-0.39,-0.364,-0.3875,-0.346,-0.3255,-0.089
0.205,-0.0985,-0.013,0.086,0.0555,-0.0925,0.0365,-0.395,-0.3635,-0.3855,-0.345,-0.327,-0.092
0.206,-0.1035,-0.0125,0.091,0.058,-0.0975,0.0395,-0.3995,-0.365,-0.386,-0.344,-0.324,-0.0855
