I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.015,-0.005,0.009,0.009,-0.012,0.002,0.035,0.076,0.083,0.079,0.041,0.0
-0.009,0.028,0.036,-0.01,-0.023,0.032,0.048,0.075,0.089,0.09,0.06,0.007
-0.004,0.038,0.043,-0.017,-0.024,0.04,0.098,0.087,0.105,0.105,0.089,0.013
0.003,0.049,0.046,-0.027,-0.022,0.047,0.098,0.1,0.116,0.093,0.067,0.019
0.01,0.057,0.047,-0.034,-0.018,0.052,0.022,0.132,0.151,0.148,0.099,0.051
0.021,0.06,0.039,-0.041,-0.009,0.049,0.016,0.153,0.126,0.084,0.053,0.044
0.001,0.056,0.055,-0.029,-0.027,0.055,0.018,0.129,0.162,0.218,0.141,0.055
0.021,0.065,0.045,-0.043,-0.012,0.055,0.045,0.107,0.121,0.452,0.379,0.139
0.198,0.348,0.151,-0.273,0.023,0.249,-0.512,-1.012,-1.283,0.344,1.403,0.704
0.589,0.328,-0.262,-0.458,0.425,0.033,-1.298,-2.063,-2.657,-0.643,1.683,1.22
0.683,0.158,-0.525,-0.42,0.604,-0.183,-1.315,-1.867,-2.653,-2.325,-0.252,0.758
0.201,0.088,-0.113,-0.145,0.157,-0.013,-0.873,-1.487,-1.94,-2.1,-1.054,0.136
-0.049,-0.183,-0.134,0.116,0.043,-0.158,-0.238,-0.528,-0.59,-0.603,-0.453,-0.127
-0.019,-0.107,-0.088,0.063,0.035,-0.097,0.05,0.062,0.075,-0.041,-0.176,-0.128
-0.056,-0.047,0.008,0.052,-0.032,-0.019,0.04,0.034,0.095,0.073,-0.071,-0.078
-0.044,-0.079,-0.036,0.062,-0.004,-0.057,0.077,0.117,0.177,0.083,-0.102,-0.121
-0.07,-0.052,0.018,0.061,-0.043,-0.017,0.053,0.082,0.144,0.111,-0.071,-0.115
-0.105,-0.103,0.002,0.104,-0.054,-0.05,0.073,0.123,0.167,0.124,-0.078,-0.151
-0.072,-0.06,0.012,0.066,-0.042,-0.024,0.094,0.142,0.199,0.125,-0.071,-0.153
-0.08,-0.074,0.006,0.076,-0.042,-0.034,0.11,0.16,0.246,0.146,-0.059,-0.143
-0.113,-0.084,0.028,0.098,-0.07,-0.028,0.11,0.161,0.264,0.136,-0.067,-0.152
-0.105,-0.073,0.032,0.089,-0.068,-0.021,0.122,0.175,0.291,0.142,-0.083,-0.149
-0.101,-0.067,0.033,0.083,-0.067,-0.017,0.146,0.211,0.317,0.133,-0.104,-0.151
-0.106,-0.071,0.035,0.088,-0.071,-0.017,0.165,0.224,0.333,0.135,-0.122,-0.152
-0.13,-0.071,0.059,0.1,-0.095,-0.006,0.198,0.265,0.373,0.135,-0.167,-0.186
-0.155,-0.054,0.101,0.104,-0.128,0.023,0.281,0.311,0.411,0.134,-0.21,-0.215
-0.149,-0.054,0.096,0.101,-0.123,0.021,0.319,0.378,0.48,0.136,-0.247,-0.233
-0.136,-0.042,0.094,0.088,-0.115,0.026,0.285,0.432,0.547,0.145,-0.28,-0.254
-0.152,-0.062,0.09,0.107,-0.121,0.014,0.286,0.437,0.551,0.159,-0.292,-0.263
-0.149,-0.039,0.11,0.094,-0.129,0.035,0.269,0.419,0.543,0.185,-0.257,-0.249
-0.143,-0.032,0.11,0.087,-0.126,0.039,0.241,0.385,0.507,0.197,-0.203,-0.218
-0.143,-0.053,0.09,0.098,-0.116,0.018,0.193,0.311,0.41,0.187,-0.135,-0.157
-0.095,-0.003,0.092,0.049,-0.093,0.044,0.139,0.233,0.318,0.179,-0.077,-0.097
-0.054,0.014,0.067,0.02,-0.061,0.04,0.101,0.188,0.243,0.156,-0.027,-0.056
-0.028,0.01,0.038,0.009,-0.033,0.024,0.058,0.151,0.182,0.128,0.011,-0.026
0.007,0.035,0.028,-0.021,-0.011,0.031,0.036,0.104,0.134,0.103,0.005,-0.033
0.025,0.039,0.014,-0.032,0.005,0.026,0.031,0.073,0.089,0.085,-0.001,-0.032
0.013,0.012,0.0,-0.012,0.006,0.006,0.027,0.056,0.056,0.072,-0.007,-0.024
-0.01,-0.022,-0.012,0.016,0.002,-0.017,0.022,0.038,0.04,0.068,-0.015,-0.021
-0.039,-0.062,-0.023,0.051,-0.008,-0.042,0.018,0.04,0.04,0.071,-0.018,-0.02
0.008,-0.025,-0.033,0.009,0.02,-0.029,0.016,0.043,0.028,0.069,-0.016,-0.019
0.046,0.011,-0.035,-0.028,0.04,-0.011,0.04,0.051,0.044,0.071,0.003,-0.014
0.023,-0.013,-0.036,-0.005,0.03,-0.024,0.06,0.082,0.087,0.069,0.011,-0.017
0.016,-0.017,-0.033,0.001,0.025,-0.025,0.058,0.075,0.08,0.072,0.038,-0.005
-0.013,-0.051,-0.038,0.032,0.013,-0.044,0.067,0.092,0.096,0.084,0.052,-0.016
0.007,-0.022,-0.029,0.008,0.019,-0.025,0.062,0.112,0.111,0.114,0.057,-0.019
0.024,0.009,-0.015,-0.016,0.019,-0.003,0.076,0.123,0.127,0.119,0.055,-0.001
0.001,0.009,0.008,-0.005,-0.003,0.008,0.062,0.121,0.121,0.108,0.055,0.011
0.013,0.035,0.021,-0.024,-0.004,0.028,0.098,0.126,0.125,0.14,0.078,0.022
0.015,0.038,0.023,-0.027,-0.004,0.03,0.111,0.141,0.15,0.118,0.051,0.019
0.027,0.045,0.018,-0.036,0.004,0.031,0.029,0.126,0.172,0.177,0.108,0.037
0.046,0.033,-0.013,-0.039,0.03,0.01,0.038,0.132,0.182,0.115,0.069,0.012
0.026,0.047,0.021,-0.037,0.002,0.034,0.017,0.107,0.168,0.186,0.127,0.022
0.023,0.037,0.014,-0.031,0.004,0.025,0.071,0.196,0.241,0.457,0.304,0.088
0.138,0.256,0.119,-0.197,0.009,0.187,-0.361,-0.666,-0.868,0.448,1.225,0.584
0.562,0.373,-0.189,-0.467,0.375,0.092,-1.156,-1.811,-2.356,-0.292,1.863,1.201
0.701,0.136,-0.565,-0.418,0.632,-0.214,-1.284,-1.782,-2.583,-2.098,0.057,0.849
0.213,0.028,-0.185,-0.12,0.199,-0.079,-0.912,-1.47,-2.035,-2.293,-1.102,0.161
-0.041,-0.151,-0.11,0.096,0.035,-0.131,-0.279,-0.623,-0.719,-0.74,-0.518,-0.121
-0.028,-0.152,-0.123,0.09,0.047,-0.137,0.055,0.049,0.068,-0.073,-0.189,-0.111
-0.069,-0.067,0.003,0.068,-0.036,-0.032,0.051,0.053,0.099,0.046,-0.053,-0.064
-0.051,-0.089,-0.038,0.071,-0.006,-0.063,0.087,0.119,0.184,0.082,-0.07,-0.094
-0.044,-0.043,0.001,0.044,-0.022,-0.02,0.094,0.113,0.171,0.098,-0.063,-0.079
-0.085,-0.101,-0.017,0.093,-0.034,-0.059,0.111,0.124,0.193,0.11,-0.068,-0.099
-0.106,-0.106,-0.001,0.106,-0.052,-0.053,0.106,0.117,0.186,0.106,-0.075,-0.1
-0.1,-0.099,0.001,0.099,-0.05,-0.048,0.116,0.149,0.226,0.134,-0.063,-0.099
-0.052,-0.073,-0.02,0.063,-0.016,-0.046,0.115,0.163,0.246,0.134,-0.077,-0.105
-0.046,-0.055,-0.01,0.051,-0.018,-0.032,0.131,0.175,0.259,0.168,-0.063,-0.104
-0.107,-0.109,-0.002,0.108,-0.052,-0.055,0.144,0.207,0.308,0.164,-0.074,-0.106
-0.139,-0.121,0.018,0.13,-0.078,-0.051,0.152,0.208,0.311,0.166,-0.096,-0.114
-0.137,-0.113,0.024,0.125,-0.081,-0.044,0.163,0.229,0.33,0.172,-0.15,-0.158
-0.117,-0.069,0.048,0.093,-0.082,-0.01,0.238,0.273,0.384,0.168,-0.19,-0.189
-0.145,-0.05,0.095,0.098,-0.119,0.022,0.322,0.369,0.472,0.176,-0.202,-0.189
-0.157,-0.054,0.102,0.106,-0.129,0.024,0.268,0.426,0.542,0.192,-0.23,-0.199
-0.151,-0.043,0.108,0.097,-0.129,0.033,0.238,0.43,0.549,0.187,-0.252,-0.223
-0.149,-0.04,0.109,0.095,-0.129,0.034,0.244,0.427,0.554,0.198,-0.225,-0.201
-0.125,-0.033,0.092,0.079,-0.108,0.029,0.223,0.391,0.521,0.234,-0.188,-0.179
-0.092,-0.007,0.085,0.049,-0.089,0.038,0.188,0.319,0.426,0.212,-0.128,-0.143
-0.036,0.031,0.067,0.003,-0.052,0.049,0.144,0.259,0.345,0.192,-0.041,-0.085
0.009,0.046,0.036,-0.028,-0.014,0.041,0.105,0.211,0.273,0.179,-0.004,-0.055
-0.012,0.006,0.018,0.003,-0.015,0.012,0.069,0.155,0.201,0.141,0.017,-0.015
-0.02,-0.001,0.019,0.01,-0.019,0.009,0.047,0.114,0.145,0.107,0.032,-0.003
0.017,0.03,0.013,-0.024,0.002,0.021,0.036,0.092,0.106,0.078,0.026,-0.009
-0.003,0.009,0.012,-0.003,-0.008,0.01,0.034,0.067,0.074,0.062,0.022,-0.01
0.011,0.014,0.003,-0.013,0.004,0.009,0.031,0.059,0.06,0.049,0.014,-0.015
0.019,-0.009,-0.029,-0.005,0.024,-0.019,0.027,0.06,0.06,0.049,0.012,-0.015
-0.009,-0.047,-0.038,0.028,0.015,-0.042,0.025,0.061,0.06,0.051,0.008,-0.015
0.011,-0.021,-0.032,0.006,0.021,-0.026,0.027,0.063,0.059,0.049,0.014,-0.015
0.024,-0.008,-0.032,-0.008,0.029,-0.02,0.031,0.066,0.061,0.051,0.02,-0.015
0.006,-0.02,-0.025,0.007,0.016,-0.022,0.029,0.063,0.06,0.047,0.028,-0.01
0.011,-0.016,-0.027,0.003,0.019,-0.021,0.026,0.058,0.072,0.06,0.035,-0.007
0.019,-0.006,-0.025,-0.006,0.022,-0.015,0.024,0.057,0.068,0.063,0.038,0.011
0.003,-0.031,-0.033,0.014,0.018,-0.032,0.017,0.043,0.051,0.068,0.053,0.016
0.024,0.014,-0.009,-0.019,0.017,0.003,0.033,0.074,0.08,0.077,0.046,0.019
0.055,0.076,0.021,-0.066,0.017,0.048,0.086,0.088,0.099,0.118,0.079,0.04
0.044,0.073,0.029,-0.059,0.007,0.05,0.091,0.1,0.118,0.109,0.048,0.014
0.028,0.083,0.055,-0.056,-0.013,0.069,0.021,0.112,0.139,0.133,0.094,0.049
0.051,0.051,0.001,-0.051,0.024,0.026,0.026,0.123,0.168,0.12,0.074,0.062
0.03,0.042,0.013,-0.037,0.008,0.027,-0.006,0.056,0.112,0.096,0.063,0.053
0.023,0.012,-0.012,-0.017,0.017,0.0,0.061,0.178,0.243,0.358,0.214,0.075
0.091,0.207,0.117,-0.149,-0.013,0.162,-0.173,-0.338,-0.48,0.414,0.818,0.37
0.386,0.429,0.043,-0.407,0.171,0.235,-1.018,-1.675,-2.127,0.055,1.938,1.111
0.728,0.226,-0.502,-0.476,0.614,-0.138,-1.348,-1.866,-2.587,-1.407,0.905,1.116
0.426,0.129,-0.297,-0.277,0.361,-0.084,-1.092,-1.589,-2.266,-2.464,-0.944,0.392
-0.021,-0.069,-0.049,0.045,0.014,-0.059,-0.503,-0.986,-1.217,-1.272,-0.76,-0.044
-0.042,-0.187,-0.145,0.115,0.052,-0.166,0.0,-0.061,-0.076,-0.182,-0.26,-0.159
-0.057,-0.063,-0.006,0.06,-0.026,-0.034,0.029,0.052,0.075,0.019,-0.112,-0.121
-0.069,-0.079,-0.01,0.074,-0.029,-0.044,0.075,0.089,0.145,0.078,-0.103,-0.132
-0.031,-0.035,-0.004,0.033,-0.013,-0.02,0.08,0.101,0.147,0.052,-0.117,-0.131
-0.044,-0.062,-0.018,0.054,-0.013,-0.04,0.076,0.099,0.147,0.074,-0.087,-0.128
-0.069,-0.095,-0.026,0.082,-0.022,-0.06,0.101,0.146,0.186,0.091,-0.104,-0.136
-0.105,-0.11,-0.005,0.108,-0.05,-0.057,0.12,0.143,0.196,0.131,-0.086,-0.14
-0.087,-0.095,-0.007,0.091,-0.039,-0.051,0.132,0.17,0.236,0.12,-0.111,-0.132
-0.059,-0.049,0.009,0.054,-0.033,-0.02,0.128,0.166,0.256,0.117,-0.086,-0.106
-0.073,-0.051,0.022,0.062,-0.048,-0.015,0.137,0.183,0.279,0.118,-0.096,-0.142
-0.087,-0.059,0.028,0.072,-0.057,-0.015,0.143,0.194,0.278,0.105,-0.136,-0.153
-0.109,-0.084,0.025,0.096,-0.066,-0.03,0.185,0.242,0.326,0.124,-0.16,-0.169
-0.12,-0.06,0.06,0.089,-0.09,0.0,0.266,0.293,0.379,0.15,-0.212,-0.21
-0.137,-0.046,0.09,0.091,-0.113,0.021,0.304,0.348,0.443,0.15,-0.236,-0.21
-0.146,-0.046,0.1,0.096,-0.123,0.027,0.266,0.415,0.514,0.15,-0.258,-0.225
-0.132,-0.038,0.094,0.084,-0.113,0.028,0.254,0.428,0.531,0.15,-0.305,-0.268
-0.128,-0.037,0.091,0.082,-0.109,0.027,0.252,0.419,0.532,0.153,-0.303,-0.267
-0.111,-0.029,0.082,0.069,-0.097,0.026,0.253,0.395,0.503,0.178,-0.258,-0.238
-0.126,-0.032,0.094,0.079,-0.11,0.031,0.222,0.327,0.424,0.178,-0.187,-0.188
-0.116,-0.027,0.09,0.071,-0.103,0.031,0.154,0.272,0.351,0.164,-0.107,-0.125
-0.077,-0.02,0.057,0.049,-0.067,0.018,0.115,0.209,0.275,0.157,-0.047,-0.087
-0.033,0.015,0.048,0.009,-0.041,0.031,0.083,0.143,0.196,0.135,-0.016,-0.044
0.017,0.045,0.028,-0.031,-0.006,0.036,0.052,0.107,0.137,0.105,-0.002,-0.016
0.017,0.031,0.014,-0.024,0.001,0.022,0.027,0.071,0.086,0.081,0.016,-0.03
0.013,0.02,0.007,-0.017,0.002,0.013,0.024,0.052,0.047,0.067,0.022,-0.046
0.011,0.007,-0.004,-0.008,0.007,0.001,0.026,0.049,0.032,0.053,0.019,-0.043
0.008,-0.002,-0.01,-0.003,0.009,-0.006,0.024,0.05,0.031,0.047,0.02,-0.032
-0.01,-0.034,-0.024,0.022,0.007,-0.029,0.026,0.05,0.023,0.032,0.013,-0.023
-0.021,-0.059,-0.039,0.04,0.009,-0.049,0.024,0.05,0.033,0.031,0.017,-0.012
-0.009,-0.043,-0.035,0.026,0.013,-0.039,0.03,0.078,0.069,0.057,0.011,-0.01
-0.009,-0.027,-0.018,0.018,0.005,-0.023,0.028,0.079,0.069,0.065,-0.001,-0.01
0.013,0.001,-0.012,-0.007,0.012,-0.005,0.026,0.08,0.086,0.077,0.018,-0.007
0.041,0.028,-0.013,-0.034,0.027,0.007,0.023,0.073,0.085,0.082,0.033,-0.004
0.033,-0.003,-0.036,-0.015,0.035,-0.02,0.017,0.061,0.08,0.091,0.027,-0.005
0.031,0.008,-0.024,-0.019,0.028,-0.008,0.035,0.091,0.103,0.088,0.033,-0.011
-0.006,0.012,0.018,-0.003,-0.013,0.015,0.083,0.124,0.121,0.137,0.059,-0.008
-0.01,0.022,0.032,-0.006,-0.021,0.027,0.085,0.147,0.151,0.135,0.046,-0.007
0.028,0.069,0.042,-0.049,-0.007,0.055,0.026,0.143,0.164,0.175,0.113,0.029
0.026,0.035,0.009,-0.031,0.009,0.021,0.047,0.173,0.155,0.139,0.068,0.028
0.045,0.066,0.021,-0.056,0.012,0.043,0.021,0.11,0.114,0.147,0.091,0.03
0.036,0.035,-0.002,-0.036,0.019,0.016,0.068,0.216,0.267,0.421,0.25,0.061
0.128,0.261,0.133,-0.195,-0.002,0.197,-0.249,-0.436,-0.609,0.449,1.036,0.476
0.48,0.429,-0.05,-0.455,0.265,0.189,-1.072,-1.64,-2.137,-0.012,1.984,1.182
0.742,0.244,-0.498,-0.493,0.62,-0.127,-1.314,-1.687,-2.474,-1.673,0.496,0.986
0.356,0.154,-0.203,-0.255,0.279,-0.025,-0.965,-1.432,-2.076,-2.358,-1.061,0.259
-0.058,-0.142,-0.083,0.1,0.013,-0.113,-0.354,-0.722,-0.891,-0.931,-0.614,-0.083
-0.03,-0.172,-0.142,0.101,0.057,-0.157,0.037,0.038,0.026,-0.104,-0.216,-0.129
-0.049,-0.051,-0.002,0.05,-0.023,-0.027,0.056,0.057,0.089,0.035,-0.083,-0.078
-0.074,-0.098,-0.025,0.086,-0.024,-0.061,0.092,0.113,0.165,0.085,-0.069,-0.1
-0.081,-0.069,0.012,0.075,-0.047,-0.028,0.081,0.101,0.146,0.072,-0.069,-0.099
-0.083,-0.083,0.0,0.083,-0.041,-0.041,0.094,0.114,0.165,0.105,-0.048,-0.103
-0.084,-0.089,-0.005,0.087,-0.04,-0.047,0.101,0.135,0.183,0.105,-0.065,-0.118
-0.09,-0.099,-0.009,0.094,-0.04,-0.053,0.1,0.127,0.214,0.129,-0.038,-0.119
-0.066,-0.078,-0.012,0.072,-0.027,-0.045,0.119,0.155,0.245,0.128,-0.055,-0.127
-0.047,-0.048,-0.001,0.048,-0.023,-0.024,0.129,0.161,0.256,0.145,-0.073,-0.126
-0.04,-0.042,-0.001,0.041,-0.019,-0.021,0.131,0.186,0.281,0.137,-0.084,-0.13
-0.081,-0.076,0.005,0.078,-0.042,-0.035,0.135,0.194,0.28,0.125,-0.12,-0.15
-0.082,-0.059,0.023,0.07,-0.052,-0.018,0.169,0.226,0.34,0.14,-0.154,-0.179
