time ,I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
0.126,-0.076,0.024,0.101,0.026,-0.089,0.062,-0.059,0.002,0.037,0.04,0.035,-0.018
0.128,-0.088,0.0,0.088,0.044,-0.089,0.043,-0.06,-0.007,0.028,0.027,0.022,-0.04
0.13,-0.11,-0.02,0.09,0.065,-0.1,0.035,-0.06,-0.01,0.02,0.02,0.015,-0.055
0.132,-0.136,-0.045,0.09,0.09,-0.113,0.023,-0.06,-0.013,0.012,0.013,0.008,-0.061
0.134,-0.145,-0.055,0.09,0.1,-0.117,0.017,-0.061,-0.021,0.004,0.001,-0.004,-0.085
0.136,-0.145,-0.055,0.09,0.1,-0.117,0.017,-0.058,-0.028,-0.004,-0.009,-0.014,-0.096
0.138,-0.145,-0.055,0.09,0.1,-0.117,0.017,-0.055,-0.031,-0.011,-0.017,-0.022,-0.089
0.14,-0.145,-0.055,0.09,0.1,-0.117,0.017,-0.055,-0.035,-0.015,-0.025,-0.03,-0.09
0.142,-0.144,-0.054,0.09,0.099,-0.116,0.018,-0.055,-0.039,-0.02,-0.03,-0.035,-0.09
0.144,-0.155,-0.065,0.09,0.11,-0.122,0.012,-0.055,-0.04,-0.018,-0.03,-0.035,-0.09
0.146,-0.16,-0.07,0.09,0.115,-0.125,0.01,-0.055,-0.04,-0.028,-0.03,-0.035,-0.09
0.148,-0.154,-0.064,0.09,0.109,-0.122,0.012,-0.055,-0.04,-0.041,-0.03,-0.035,-0.09
0.15,-0.155,-0.065,0.09,0.11,-0.122,0.012,-0.055,-0.04,-0.035,-0.03,-0.035,-0.09
0.152,-0.155,-0.065,0.09,0.11,-0.122,0.012,-0.059,-0.04,-0.035,-0.03,-0.035,-0.09
0.154,-0.155,-0.065,0.09,0.11,-0.122,0.012,-0.06,-0.041,-0.035,-0.03,-0.034,-0.087
0.156,-0.155,-0.065,0.09,0.11,-0.122,0.012,-0.06,-0.038,-0.035,-0.03,-0.037,-0.084
0.158,-0.155,-0.064,0.091,0.109,-0.122,0.013,-0.06,-0.035,-0.035,-0.031,-0.04,-0.085
0.16,-0.15,-0.06,0.09,0.105,-0.12,0.015,-0.06,-0.035,-0.035,-0.035,-0.04,-0.085
0.162,-0.138,-0.06,0.078,0.098,-0.108,0.009,-0.06,-0.035,-0.035,-0.035,-0.04,-0.085
0.164,-0.128,-0.06,0.068,0.094,-0.098,0.003,-0.06,-0.036,-0.035,-0.035,-0.04,-0.085
0.166,-0.121,-0.06,0.061,0.09,-0.091,0.001,-0.06,-0.033,-0.035,-0.035,-0.04,-0.085
0.168,-0.113,-0.06,0.053,0.086,-0.083,-0.003,-0.061,-0.03,-0.035,-0.035,-0.041,-0.085
0.17,-0.105,-0.06,0.045,0.082,-0.075,-0.007,-0.065,-0.03,-0.035,-0.035,-0.045,-0.085
0.172,-0.1,-0.062,0.038,0.081,-0.069,-0.012,-0.065,-0.03,-0.035,-0.035,-0.045,-0.081
0.174,-0.104,-0.079,0.025,0.091,-0.064,-0.027,-0.065,-0.03,-0.035,-0.036,-0.045,-0.08
0.176,-0.119,-0.084,0.035,0.101,-0.077,-0.024,-0.065,-0.03,-0.035,-0.033,-0.045,-0.08
0.178,-0.149,-0.072,0.077,0.11,-0.113,0.002,-0.065,-0.029,-0.035,-0.03,-0.045,-0.08
0.18,-0.18,-0.065,0.115,0.122,-0.147,0.025,-0.065,-0.025,-0.035,-0.03,-0.045,-0.08
0.182,-0.174,-0.061,0.112,0.117,-0.143,0.026,-0.065,-0.025,-0.035,-0.03,-0.049,-0.08
0.184,-0.163,-0.054,0.109,0.109,-0.136,0.027,-0.066,-0.025,-0.035,-0.027,-0.05,-0.08
0.186,-0.156,-0.046,0.11,0.101,-0.133,0.032,-0.06,-0.025,-0.035,-0.025,-0.05,-0.08
0.188,-0.148,-0.038,0.11,0.093,-0.129,0.036,-0.047,-0.026,-0.035,-0.025,-0.05,-0.08
0.19,-0.145,-0.035,0.11,0.09,-0.127,0.037,-0.035,-0.025,-0.035,-0.025,-0.05,-0.08
0.192,-0.159,-0.049,0.11,0.104,-0.134,0.03,-0.022,-0.006,-0.035,-0.03,-0.051,-0.079
0.194,-0.185,-0.075,0.11,0.13,-0.147,0.017,-0.015,0.017,-0.033,-0.03,-0.046,-0.091
0.196,-0.214,-0.104,0.11,0.159,-0.162,0.003,-0.003,0.03,-0.04,-0.048,-0.063,-0.123
0.198,-0.215,-0.105,0.11,0.16,-0.162,0.002,0.013,0.055,-0.026,-0.056,-0.079,-0.14
0.2,-0.175,-0.065,0.11,0.12,-0.142,0.022,0.025,0.115,0.03,-0.015,-0.055,-0.12
0.202,-0.145,-0.034,0.111,0.089,-0.127,0.038,0.043,0.176,0.078,0.017,-0.037,-0.105
0.204,-0.096,0.009,0.105,0.043,-0.101,0.057,0.072,0.232,0.135,0.057,0.004,-0.077
0.206,-0.068,0.06,0.127,0.004,-0.098,0.093,0.078,0.287,0.206,0.118,0.052,-0.044
0.208,-0.043,0.107,0.15,-0.032,-0.097,0.128,0.07,0.337,0.286,0.195,0.107,-0.011
0.21,0.015,0.145,0.13,-0.08,-0.058,0.137,0.065,0.38,0.37,0.275,0.18,0.03
0.212,0.041,0.165,0.124,-0.104,-0.042,0.145,0.018,0.404,0.429,0.344,0.236,0.069
0.214,0.168,0.222,0.054,-0.195,0.057,0.138,-0.025,0.357,0.468,0.406,0.298,0.118
0.216,0.278,0.262,-0.016,-0.27,0.147,0.123,-0.087,0.289,0.502,0.462,0.358,0.172
0.218,0.307,0.267,-0.041,-0.287,0.174,0.113,-0.177,0.219,0.512,0.503,0.406,0.221
0.22,0.365,0.285,-0.08,-0.325,0.222,0.102,-0.26,0.11,0.48,0.52,0.45,0.265
0.222,0.466,0.322,-0.144,-0.393,0.304,0.089,-0.334,-0.01,0.456,0.519,0.494,0.32
0.224,0.543,0.383,-0.16,-0.463,0.351,0.111,-0.395,-0.131,0.418,0.527,0.533,0.377
0.226,0.546,0.421,-0.125,-0.483,0.336,0.147,-0.457,-0.299,0.321,0.491,0.547,0.416
0.228,0.524,0.364,-0.16,-0.443,0.342,0.101,-0.528,-0.514,0.125,0.347,0.482,0.416
0.23,0.49,0.24,-0.25,-0.365,0.37,-0.005,-0.6,-0.755,-0.13,0.145,0.355,0.38
0.232,0.32,0.196,-0.125,-0.258,0.222,0.035,-0.657,-1.067,-0.303,0.035,0.31,0.346
0.234,0.21,0.163,-0.047,-0.186,0.128,0.058,-0.704,-1.306,-0.418,-0.047,0.279,0.331
0.236,0.142,0.117,-0.025,-0.129,0.083,0.046,-0.713,-1.398,-0.49,-0.117,0.228,0.329
0.238,0.054,0.067,0.013,-0.061,0.021,0.039,-0.698,-1.388,-0.536,-0.176,0.171,0.313
0.24,-0.005,0.02,0.025,-0.008,-0.015,0.022,-0.69,-1.335,-0.57,-0.235,0.12,0.275
0.242,-0.012,0.002,0.014,0.005,-0.013,0.008,-0.651,-1.239,-0.567,-0.269,0.076,0.243
0.244,-0.006,-0.006,0.0,0.006,-0.003,-0.002,-0.612,-1.155,-0.565,-0.29,0.031,0.209
0.246,-0.037,-0.047,-0.01,0.042,-0.013,-0.028,-0.578,-1.083,-0.543,-0.293,0.008,0.171
0.248,-0.066,-0.09,-0.024,0.078,-0.021,-0.056,-0.548,-0.996,-0.509,-0.284,0.004,0.138
0.25,-0.05,-0.08,-0.03,0.065,-0.01,-0.055,-0.515,-0.875,-0.475,-0.275,-0.005,0.115
0.252,-0.07,-0.075,-0.005,0.072,-0.032,-0.04,-0.452,-0.712,-0.373,-0.237,-0.014,0.091
0.254,-0.108,-0.076,0.032,0.091,-0.069,-0.021,-0.388,-0.592,-0.308,-0.192,-0.017,0.067
0.256,-0.108,-0.073,0.035,0.091,-0.072,-0.018,-0.332,-0.509,-0.267,-0.164,-0.027,0.042
0.258,-0.114,-0.07,0.044,0.091,-0.079,-0.012,-0.275,-0.422,-0.22,-0.152,-0.052,0.02
0.26,-0.165,-0.07,0.095,0.117,-0.13,0.012,-0.22,-0.335,-0.19,-0.14,-0.075,0.005
0.262,-0.156,-0.066,0.09,0.111,-0.123,0.012,-0.183,-0.274,-0.158,-0.124,-0.072,-0.011
0.264,-0.139,-0.061,0.077,0.1,-0.108,0.008,-0.148,-0.217,-0.126,-0.11,-0.069,-0.027
0.266,-0.131,-0.06,0.072,0.095,-0.102,0.005,-0.114,-0.167,-0.092,-0.101,-0.07,-0.044
0.268,-0.123,-0.06,0.063,0.091,-0.093,0.001,-0.082,-0.123,-0.065,-0.093,-0.07,-0.057
0.27,-0.11,-0.055,0.055,0.082,-0.082,0.0,-0.055,-0.08,-0.055,-0.085,-0.07,-0.06
0.272,-0.099,-0.052,0.047,0.075,-0.072,-0.002,-0.046,-0.066,-0.047,-0.081,-0.066,-0.059
0.274,-0.116,-0.076,0.039,0.096,-0.077,-0.018,-0.042,-0.06,-0.036,-0.075,-0.065,-0.066
0.276,-0.127,-0.08,0.047,0.103,-0.087,-0.016,-0.038,-0.049,-0.025,-0.066,-0.065,-0.071
0.278,-0.154,-0.091,0.063,0.122,-0.108,-0.014,-0.034,-0.038,-0.019,-0.059,-0.065,-0.079
0.28,-0.21,-0.145,0.065,0.177,-0.137,-0.04,-0.03,-0.03,-0.015,-0.055,-0.065,-0.095
0.282,-0.175,-0.11,0.065,0.142,-0.119,-0.023,-0.026,-0.022,-0.011,-0.051,-0.065,-0.092
0.284,-0.126,-0.061,0.065,0.093,-0.095,0.002,-0.022,-0.014,-0.007,-0.047,-0.062,-0.089
0.286,-0.114,-0.049,0.065,0.081,-0.089,0.008,-0.018,-0.006,-0.003,-0.043,-0.059,-0.09
0.288,-0.121,-0.056,0.065,0.088,-0.093,0.005,-0.015,0.002,0.001,-0.04,-0.06,-0.09
0.29,-0.12,-0.055,0.065,0.087,-0.092,0.005,-0.015,0.01,0.005,-0.04,-0.06,-0.09
0.292,-0.118,-0.055,0.063,0.086,-0.09,0.004,-0.015,0.018,0.01,-0.036,-0.06,-0.09
0.294,-0.135,-0.055,0.08,0.095,-0.107,0.012,-0.015,0.026,0.007,-0.031,-0.057,-0.09
0.296,-0.151,-0.056,0.095,0.103,-0.122,0.019,-0.015,0.033,0.004,-0.03,-0.054,-0.09
0.298,-0.175,-0.08,0.095,0.127,-0.135,0.007,-0.014,0.035,0.005,-0.029,-0.055,-0.089
0.3,-0.215,-0.12,0.095,0.167,-0.155,-0.012,-0.01,0.035,0.005,-0.025,-0.055,-0.085
0.302,-0.205,-0.11,0.095,0.157,-0.15,-0.007,-0.01,0.035,0.005,-0.02,-0.055,-0.085
0.304,-0.192,-0.097,0.095,0.144,-0.143,-0.001,-0.01,0.038,0.005,-0.02,-0.056,-0.085
0.306,-0.187,-0.092,0.095,0.139,-0.14,0.002,-0.01,0.041,0.005,-0.018,-0.053,-0.085
0.308,-0.177,-0.082,0.095,0.129,-0.136,0.006,-0.01,0.04,0.005,-0.015,-0.05,-0.085
0.31,-0.165,-0.07,0.095,0.117,-0.13,0.012,-0.01,0.04,0.005,-0.015,-0.05,-0.085
0.312,-0.157,-0.062,0.095,0.109,-0.126,0.016,-0.01,0.044,0.005,-0.015,-0.05,-0.085
0.314,-0.148,-0.053,0.095,0.1,-0.121,0.021,-0.007,0.045,0.005,-0.015,-0.047,-0.086
0.316,-0.146,-0.051,0.095,0.098,-0.12,0.021,-0.004,0.045,0.005,-0.015,-0.045,-0.083
0.318,-0.151,-0.056,0.096,0.103,-0.123,0.02,-0.005,0.045,0.005,-0.015,-0.045,-0.08
0.32,-0.15,-0.055,0.095,0.102,-0.122,0.02,-0.005,0.045,0.005,-0.015,-0.045,-0.08
0.322,-0.139,-0.056,0.083,0.097,-0.11,0.013,-0.005,0.045,0.005,-0.015,-0.045,-0.08
0.324,-0.126,-0.051,0.075,0.089,-0.1,0.011,-0.006,0.045,0.005,-0.012,-0.042,-0.08
0.326,-0.13,-0.069,0.061,0.099,-0.095,-0.004,-0.003,0.045,0.005,-0.009,-0.039,-0.08
0.328,-0.115,-0.092,0.022,0.103,-0.068,-0.034,0.0,0.045,0.006,-0.01,-0.04,-0.08
0.33,-0.09,-0.085,0.005,0.087,-0.047,-0.04,0.0,0.045,0.01,-0.01,-0.04,-0.08
0.332,-0.182,-0.084,0.098,0.133,-0.139,0.007,0.0,0.053,0.014,-0.01,-0.04,-0.08
0.334,-0.196,-0.086,0.11,0.14,-0.152,0.012,0.0,0.056,0.018,-0.01,-0.037,-0.081
0.336,-0.149,-0.083,0.066,0.116,-0.107,-0.009,0.0,0.055,0.021,-0.01,-0.034,-0.078
0.338,-0.144,-0.08,0.065,0.112,-0.105,-0.007,0.0,0.055,0.019,-0.01,-0.035,-0.075
0.34,-0.17,-0.08,0.09,0.125,-0.13,0.005,0.0,0.055,0.015,-0.01,-0.035,-0.075
0.342,-0.156,-0.08,0.076,0.118,-0.116,-0.002,0.004,0.055,0.011,-0.006,-0.031,-0.075
0.344,-0.138,-0.081,0.057,0.109,-0.098,-0.012,0.009,0.055,0.01,-0.005,-0.03,-0.075
0.346,-0.119,-0.078,0.041,0.098,-0.079,-0.019,0.01,0.055,0.008,-0.005,-0.03,-0.075
0.348,-0.086,-0.075,0.011,0.08,-0.048,-0.031,0.011,0.055,0.005,-0.005,-0.03,-0.075
0.35,-0.065,-0.075,-0.01,0.07,-0.027,-0.042,0.015,0.055,0.005,-0.005,-0.03,-0.075
0.352,-0.101,-0.075,0.026,0.088,-0.063,-0.024,0.019,0.055,0.001,-0.005,-0.026,-0.075
0.354,-0.152,-0.075,0.077,0.114,-0.114,0.0,0.021,0.056,-0.004,-0.005,-0.024,-0.075
0.356,-0.164,-0.073,0.091,0.118,-0.127,0.008,0.018,0.053,-0.005,-0.006,-0.026,-0.076
0.358,-0.146,-0.07,0.077,0.108,-0.112,0.004,0.014,0.059,-0.006,-0.004,-0.023,-0.074
0.36,-0.14,-0.07,0.07,0.105,-0.105,0.0,0.01,0.08,-0.01,-0.005,-0.025,-0.075
0.362,-0.133,-0.07,0.062,0.102,-0.098,-0.004,0.01,0.077,-0.011,-0.031,-0.055,-0.096
0.364,-0.12,-0.067,0.053,0.094,-0.087,-0.006,0.007,0.074,-0.007,-0.034,-0.06,-0.099
0.366,-0.112,-0.065,0.048,0.088,-0.079,-0.008,0.003,0.075,-0.005,-0.029,-0.053,-0.094
0.368,-0.1,-0.065,0.035,0.083,-0.067,-0.015,-0.001,0.075,-0.004,-0.029,-0.056,-0.095
0.37,-0.1,-0.065,0.035,0.082,-0.067,-0.015,0.0,0.075,0.0,-0.025,-0.055,-0.095
0.372,-0.165,-0.065,0.099,0.115,-0.131,0.016,0.008,0.075,0.0,-0.025,-0.051,-0.091
0.374,-0.164,-0.062,0.102,0.113,-0.133,0.02,0.013,0.075,0.003,-0.026,-0.049,-0.089
0.376,-0.12,-0.059,0.061,0.09,-0.09,0.001,0.017,0.075,0.006,-0.023,-0.051,-0.091
0.378,-0.123,-0.06,0.062,0.091,-0.092,0.002,0.021,0.075,0.005,-0.02,-0.049,-0.089
0.38,-0.165,-0.06,0.105,0.112,-0.135,0.022,0.025,0.075,0.005,-0.02,-0.045,-0.085
0.382,-0.163,-0.06,0.103,0.112,-0.133,0.021,0.029,0.075,0.009,-0.02,-0.045,-0.085
0.384,-0.156,-0.057,0.099,0.107,-0.127,0.021,0.03,0.075,0.01,-0.017,-0.046,-0.086
0.386,-0.151,-0.053,0.099,0.102,-0.125,0.022,0.029,0.075,0.012,-0.014,-0.043,-0.083
0.388,-0.144,-0.049,0.094,0.096,-0.119,0.022,0.031,0.075,0.015,-0.015,-0.04,-0.08
0.39,-0.14,-0.045,0.095,0.092,-0.117,0.025,0.035,0.075,0.015,-0.015,-0.04,-0.08
0.392,-0.137,-0.042,0.095,0.089,-0.116,0.027,0.035,0.075,0.019,-0.011,-0.04,-0.08
0.394,-0.159,-0.068,0.092,0.113,-0.125,0.012,0.034,0.075,0.021,-0.009,-0.037,-0.077
0.396,-0.17,-0.081,0.089,0.125,-0.13,0.004,0.037,0.077,0.019,-0.011,-0.034,-0.074
0.398,-0.157,-0.067,0.09,0.112,-0.124,0.012,0.04,0.09,0.021,-0.009,-0.035,-0.075
0.4,-0.15,-0.06,0.09,0.105,-0.12,0.015,0.04,0.11,0.025,-0.005,-0.035,-0.075
0.402,-0.142,-0.056,0.086,0.099,-0.114,0.015,0.04,0.111,0.025,-0.005,-0.031,-0.071
0.404,-0.134,-0.049,0.084,0.091,-0.109,0.018,0.041,0.109,0.028,-0.005,-0.029,-0.069
0.406,-0.126,-0.041,0.086,0.083,-0.105,0.022,0.038,0.11,0.031,-0.005,-0.031,-0.071
0.408,-0.118,-0.033,0.084,0.075,-0.1,0.025,0.035,0.11,0.029,-0.005,-0.029,-0.069
0.41,-0.11,-0.03,0.08,0.07,-0.095,0.025,0.035,0.11,0.025,-0.005,-0.025,-0.065
0.412,-0.11,-0.031,0.079,0.07,-0.095,0.024,0.031,0.11,0.025,-0.005,-0.025,-0.065
0.414,-0.109,-0.027,0.081,0.068,-0.095,0.027,0.03,0.111,0.026,-0.005,-0.025,-0.065
0.416,-0.115,-0.04,0.075,0.077,-0.095,0.017,0.028,0.108,0.023,-0.005,-0.026,-0.065
0.418,-0.118,-0.056,0.062,0.086,-0.09,0.003,0.025,0.114,0.02,-0.005,-0.024,-0.064
0.42,-0.1,-0.045,0.055,0.072,-0.077,0.005,0.025,0.135,0.02,-0.005,-0.015,-0.06
0.422,-0.084,-0.037,0.048,0.06,-0.066,0.006,0.021,0.132,0.02,-0.006,-0.011,-0.056
0.424,-0.064,-0.029,0.035,0.046,-0.049,0.003,0.02,0.129,0.022,0.001,-0.008,-0.052
0.426,-0.049,-0.021,0.028,0.035,-0.038,0.003,0.019,0.129,0.029,0.008,-0.001,-0.048
0.428,-0.026,-0.013,0.013,0.019,-0.019,0.0,0.012,0.123,0.027,0.011,0.006,-0.044
0.43,-0.015,-0.005,0.01,0.01,-0.012,0.002,0.015,0.125,0.02,0.015,0.01,-0.04
0.432,-0.102,0.0,0.102,0.051,-0.102,0.051,0.057,0.162,0.061,0.019,0.014,-0.036
0.434,-0.129,-0.003,0.126,0.066,-0.128,0.062,0.066,0.177,0.078,0.023,0.018,-0.032
0.436,-0.116,-0.005,0.111,0.06,-0.113,0.053,0.058,0.174,0.074,0.027,0.021,-0.029
0.438,-0.121,-0.006,0.116,0.063,-0.118,0.055,0.06,0.175,0.075,0.031,0.02,-0.03
0.44,-0.125,-0.01,0.115,0.067,-0.12,0.052,0.06,0.175,0.075,0.035,0.02,-0.03
0.442,-0.125,-0.01,0.115,0.067,-0.12,0.052,0.06,0.175,0.079,0.035,0.024,-0.026
0.444,-0.123,-0.011,0.112,0.067,-0.117,0.05,0.06,0.176,0.081,0.036,0.026,-0.024
0.446,-0.129,-0.02,0.109,0.075,-0.119,0.044,0.06,0.173,0.079,0.033,0.024,-0.026
0.448,-0.116,-0.006,0.11,0.061,-0.113,0.051,0.06,0.179,0.081,0.039,0.026,-0.024
0.45,-0.08,0.03,0.11,0.025,-0.095,0.07,0.06,0.2,0.085,0.055,0.03,-0.02
0.452,-0.105,0.006,0.11,0.049,-0.107,0.058,0.06,0.197,0.085,0.048,0.03,-0.02
0.454,-0.137,-0.03,0.107,0.084,-0.122,0.038,0.06,0.194,0.086,0.04,0.031,-0.02
0.456,-0.13,-0.026,0.104,0.078,-0.117,0.039,0.06,0.198,0.082,0.043,0.027,-0.021
0.458,-0.097,0.008,0.105,0.044,-0.101,0.056,0.06,0.218,0.092,0.061,0.036,-0.018
0.46,-0.07,0.035,0.105,0.017,-0.088,0.07,0.06,0.25,0.125,0.085,0.065,-0.005
0.462,-0.048,0.057,0.105,-0.005,-0.076,0.08,0.056,0.247,0.127,0.091,0.067,0.003
0.464,-0.043,0.062,0.106,-0.01,-0.075,0.084,0.055,0.244,0.124,0.087,0.062,0.011
0.466,-0.03,0.073,0.103,-0.022,-0.067,0.088,0.055,0.244,0.126,0.099,0.072,0.019
0.468,-0.013,0.086,0.1,-0.036,-0.057,0.092,0.055,0.238,0.124,0.118,0.088,0.027
0.47,-0.02,0.08,0.1,-0.03,-0.06,0.09,0.055,0.24,0.125,0.12,0.095,0.035
0.472,-0.025,0.075,0.1,-0.025,-0.063,0.087,0.055,0.266,0.145,0.124,0.099,0.043
